id,tokens,slots,intent
train-00001,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O B-return_date.month_name B-return_date.day_number,atis_airfare
train-00002,now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday,O O O O O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative I-arrive_time.time_relative I-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name,atis_flight
train-00003,i need to fly from kansas city to chicago leaving next wednesday and returning the following day,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O B-return_date.date_relative I-return_date.date_relative I-return_date.date_relative,atis_flight
train-00004,what is the meaning of meal code s,O O O O O B-meal_code I-meal_code I-meal_code,atis_abbreviation
train-00005,show me all flights from denver to pittsburgh which serve a meal for the day after tomorrow,O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-meal O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative,atis_flight
train-00006,show me all us air flights from atlanta to denver for the day after tomorrow,O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative I-depart_date.today_relative,atis_flight
train-00007,list the nonstop flights early tuesday morning from dallas to atlanta,O O B-flight_stop O B-arrive_time.period_mod B-arrive_date.day_name B-arrive_time.period_of_day O B-fromloc.city_name O B-toloc.city_name,atis_flight
train-00008,show me the flights from st. petersburg to toronto that arrive early in the morning,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_time.period_mod O O B-arrive_time.period_of_day,atis_flight
train-00009,i need a listing of flights from new york city to montreal canada departing thursday in the morning,O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.country_name O B-depart_date.day_name O O B-depart_time.period_of_day,atis_flight
train-00010,show me the flights on american airlines which fly from st. petersburg to ontario canada with a stopover in st. louis,O O O O O B-airline_name I-airline_name O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.country_name O O O O B-stoploc.city_name I-stoploc.city_name,atis_flight
train-00011,now show me ground transportation in houston on monday afternoon,O O O O O O B-city_name O B-day_name B-period_of_day,atis_ground_service
train-00012,show me the ground transportation schedule in philadelphia in the morning on wednesday,O O O O O O O B-city_name O O B-period_of_day O B-day_name,atis_ground_service
train-00013,show me the ground transportation schedule in san francisco on thursday evening,O O O O O O O B-city_name I-city_name O B-day_name B-period_of_day,atis_ground_service
